îN,åé,ìÒé_âªíYëfîZìxÇÃåéïΩãœíl(ó^ìﬂçëìá)[ppm],
1997,1,367.1,
1997,2,367.7,
1997,3,368.5,
1997,4,369.2,
1997,5,368.3,
1997,6,365,
1997,7,364.4,
1997,8,363.2,
1997,9,360.9,
1997,10,363.8,
1997,11,365.5,
1997,12,367.8,
1998,1,369.9,
1998,2,370.6,
1998,3,370.8,
1998,4,369.9,
1998,5,370.8,
1998,6,370.1,
1998,7,368.8,
1998,8,366.9,
1998,9,363.9,
1998,10,367.2,
1998,11,369.1,
1998,12,370.4,
1999,1,372.3,
1999,2,372.5,
1999,3,373.6,
1999,4,374.2,
1999,5,373.7,
1999,6,370.2,
1999,7,369.4,
1999,8,367.9,
1999,9,366.8,
1999,10,368.1,
1999,11,370.3,
1999,12,371.6,
2000,1,373.9,
2000,2,374.1,
2000,3,374.8,
2000,4,375.7,
2000,5,374.2,
2000,6,372.3,
2000,7,370.8,
2000,8,369.1,
2000,9,366.6,
2000,10,369.7,
2000,11,371.6,
2000,12,373.8,
2001,1,375,
2001,2,375.3,
2001,3,376.8,
2001,4,376.8,
2001,5,376.3,
2001,6,374.3,
2001,7,372.1,
2001,8,369.1,
2001,9,368.3,
2001,10,372.3,
2001,11,373.9,
2001,12,375.7,
2002,1,376.8,
2002,2,377.6,
2002,3,377.2,
2002,4,378.3,
2002,5,377.6,
2002,6,375.2,
2002,7,374.4,
2002,8,373.3,
2002,9,371.4,
2002,10,375.3,
2002,11,376.2,
2002,12,377.4,
2003,1,379.5,
2003,2,379.8,
2003,3,381.4,
2003,4,381.7,
2003,5,382.2,
2003,6,378.5,
2003,7,376.1,
2003,8,375.7,
2003,9,374,
2003,10,376.3,
2003,11,377.9,
2003,12,380.7,
2004,1,382.3,
2004,2,382.1,
2004,3,383.7,
2004,4,384.5,
2004,5,382.1,
2004,6,379.6,
2004,7,378.1,
2004,8,376.4,
2004,9,376,
2004,10,377.4,
2004,11,380.2,
2004,12,382.1,
2005,1,384,
2005,2,385.3,
2005,3,385.4,
2005,4,385.8,
2005,5,385.2,
2005,6,382.6,
2005,7,381.2,
2005,8,379.4,
2005,9,377.4,
2005,10,380.3,
2005,11,382.9,
2005,12,384.8,
2006,1,386.2,
2006,2,387.3,
2006,3,387.5,
2006,4,388.6,
2006,5,386.9,
2006,6,385.1,
2006,7,382.8,
2006,8,380.9,
2006,9,379.7,
2006,10,382.5,
2006,11,385.5,
2006,12,386.4,
2007,1,388.1,
2007,2,388,
2007,3,389.5,
2007,4,389.8,
2007,5,389.1,
2007,6,387,
2007,7,384.9,
2007,8,383,
2007,9,381.3,
2007,10,384.2,
2007,11,386,
2007,12,388.7,
2008,1,389.7,
2008,2,390.7,
2008,3,391.3,
2008,4,392.5,
2008,5,390.9,
2008,6,387.7,
2008,7,386.2,
2008,8,384.8,
2008,9,383,
2008,10,385.5,
2008,11,387.6,
2008,12,388.7,
2009,1,390.6,
2009,2,391.5,
2009,3,392.4,
2009,4,393.4,
2009,5,391.2,
2009,6,388.5,
2009,7,387.7,
2009,8,386,
2009,9,383.5,
2009,10,387.2,
2009,11,390,
2009,12,393.3,
2010,1,394,
2010,2,394.4,
2010,3,394.9,
2010,4,396.6,
2010,5,395.3,
2010,6,393.2,
2010,7,390.8,
2010,8,388.8,
2010,9,388.2,
2010,10,390.7,
2010,11,392.4,
2010,12,395.3,
2011,1,396.3,
2011,2,397.8,
2011,3,398.5,
2011,4,398.6,
2011,5,397,
2011,6,394,
2011,7,392.3,
2011,8,390.8,
2011,9,387.9,
2011,10,392.2,
2011,11,394.1,
2011,12,396.3,
2012,1,399.8,
2012,2,399.6,
2012,3,399.7,
2012,4,399.7,
2012,5,399.8,
2012,6,395.1,
2012,7,394.5,
2012,8,392.8,
2012,9,392,
2012,10,395.4,
2012,11,399.4,
2012,12,399.6,
2013,1,400.9,
2013,2,401.4,
2013,3,402.2,
2013,4,403.7,
2013,5,401.9,
2013,6,399.5,
2013,7,397.7,
2013,8,395.9,
2013,9,392.7,
2013,10,397.4,
2013,11,400.9,
2013,12,402.5,
2014,1,402.3,
2014,2,403.5,
2014,3,405.1,
2014,4,406.2,
2014,5,405.3,
2014,6,400.9,
2014,7,399.4,
2014,8,398,
2014,9,397.3,
2014,10,399.6,
2014,11,401.1,
2014,12,405.2,
2015,1,405.4,
2015,2,406.3,
2015,3,406.1,
2015,4,406.7,
2015,5,406.2,
2015,6,403.2,
2015,7,400.8,
2015,8,400.7,
2015,9,396.9,
2015,10,--,
2015,11,405,
2015,12,407.7,
2016,1,409.8,
2016,2,409.3,
2016,3,410.6,
2016,4,411.2,
2016,5,409.1,
2016,6,406.9,
2016,7,405.4,
2016,8,401.8,
2016,9,401.5,
2016,10,404.3,
2016,11,408.3,
2016,12,409.7,
2017,1,411.1,
2017,2,411.9,
2017,3,414,
2017,4,413.2,
2017,5,411.6,
2017,6,408.9,
2017,7,408,
2017,8,405.7,
2017,9,404.8,
2017,10,407.3,
2017,11,409.2,
2017,12,411.5,
2018,1,412.9,
2018,2,414.9,
2018,3,413.7,
2018,4,414.4,
2018,5,413.8,
2018,6,410.9,
2018,7,409.2,
2018,8,407.5,
2018,9,406.9,
2018,10,411.8,
2018,11,412.9,
2018,12,415.3,
2019,1,417.8,
2019,2,417.4,
2019,3,418.5,
2019,4,418,
2019,5,417.3,
2019,6,413.9,
2019,7,411.8,
2019,8,410.5,
2019,9,409.3,
2019,10,413.7,
2019,11,414.7,
2019,12,418.1,
2020,1,421,
2020,2,418.7,
2020,3,420.9,
2020,4,420.8,
2020,5,418.8,
2020,6,416.5,
2020,7,415.1,
2020,8,413.3,
2020,9,412.9,
2020,10,414.6,
2020,11,417.2,
2020,12,420.1,
2021,1,421.5,
2021,2,421,
2021,3,422.9,
2021,4,422.9,
2021,5,420.6,
2021,6,418.1,
2021,7,417.1,
2021,8,414.4,
2021,9,415.1,
2021,10,416.9,
2021,11,420.5,
2021,12,422.1,
2022,1,423.6,
2022,2,424.4,
2022,3,425.1,
2022,4,423.7,
2022,5,423.6,
2022,6,421.2,
2022,7,419.7,
2022,8,417.8,
2022,9,416.2,
2022,10,419.4,
2022,11,422.5,
2022,12,424.7,
2023,1,425.8,)
2023,2,425.4,)
2023,3,426.2,)
2023,4,427,)
2023,5,426.1,)
2023,6,423.6,)
2023,7,421.7,)
2023,8,420.5,)
2023,9,418.2,)
2023,10,424.1,)
2023,11,425.7,)
2023,12,428.4,)
2024,1,430.6,)
2024,2,431.3,)
2024,3,431.5,)
