新潟,新潟,新潟,相川,相川,相川,高田,高田,高田
,降水量の合計(mm),日照時間(時間),平均気温(℃),降水量の合計(mm),日照時間(時間),平均気温(℃),降水量の合計(mm),日照時間(時間),平均気温(℃)
2004年1月,203.0,///,///,131.0,78.9,4.1,311.0,72.4,2.5
2004年2月,110.0,///,///,104.0,81.9,5.4,281.0,117.6,4.2
2004年3月,84.0,///,///,58.5,168.0,6.7,164.5,153.8,6.2
2004年4月,111.5,///,///,91.5,193.5,11.4,74.5,214.8,12.4
2004年5月,192.5,///,///,235.0,149.4,16.5,165.5,130.0,17.5
2004年6月,132.5,///,///,118.5,187.4,20.2,136.5,178.1,21.4
2004年7月,222.5,///,///,119.5,202.7,25.0,187.0,231.2,26.7
2004年8月,178.0,///,///,288.5,239.4,25.7,166.0,198.7,26.2
2004年9月,109.0,///,///,212.5,143.6,22.9,210.5,117.5,23.3
2004年10月,237.5,///,///,161.5,117.9,16.8,376.0,122.8,16.0
2004年11月,144.0,///,///,119.0,106.0,13.7,210.0,107.2,12.5
2004年12月,193.0,///,///,124.0,85.8,8.0,412.0,91.7,6.5
2005年1月,166.5,///,///,155.5,48.2,4.2,540.0,67.4,2.4
2005年2月,122.5,///,///,88.5,30.9,2.6,385.0,60.8,1.9
2005年3月,141.5,///,///,92.0,106.9,5.8,267.5,104.9,4.4
2005年4月,53.0,///,///,60.5,194.8,11.4,66.5,206.7,12.1
2005年5月,49.5,///,///,57.5,200.2,14.3,53.5,188.6,15.4
2005年6月,169.5,///,///,199.5,182.4,21.0,192.5,148.6,22.2
2005年7月,103.5,///,///,67.0,133.0,23.3,199.0,101.9,24.3
2005年8月,193.0,///,///,155.0,206.3,26.5,174.5,163.6,26.6
2005年9月,76.5,///,///,112.0,138.7,22.9,113.5,136.1,23.2
2005年10月,212.5,///,///,177.5,158.9,17.3,160.0,109.0,17.1
2005年11月,231.0,///,///,180.0,99.0,11.6,356.0,98.9,10.1
2005年12月,294.0,///,///,206.5,38.2,3.7,552.0,48.4,2.4
2006年1月,84.5,///,///,50.0,50.7,2.8,334.0,58.1,1.3
2006年2月,92.0,///,///,50.5,66.0,3.9,220.0,79.2,2.1
2006年3月,157.5,///,///,91.5,125.3,5.8,253.0,133.1,4.7
2006年4月,82.0,///,///,80.0,124.5,10.1,163.0,128.3,10.1
2006年5月,132.0,///,///,124.0,151.4,15.5,116.0,150.1,16.9
2006年6月,70.0,///,///,72.5,162.7,19.4,66.5,132.9,21.0
2006年7月,466.0,///,///,402.5,81.3,22.4,488.0,71.5,23.4
2006年8月,78.0,///,///,47.5,270.2,26.8,88.5,260.7,27.3
2006年9月,92.0,///,///,82.0,166.9,21.7,199.0,156.6,21.7
2006年10月,181.5,///,///,104.0,160.9,17.4,331.5,149.7,16.9
2006年11月,253.0,///,///,178.5,91.3,12.2,310.5,111.2,11.1
2006年12月,326.0,///,///,199.5,35.0,7.5,506.0,56.6,5.7
2007年1月,104.5,///,///,74.0,58.0,5.8,244.5,80.0,4.0
2007年2月,72.0,///,///,56.5,98.3,5.5,174.5,117.6,4.8
2007年3月,131.5,///,///,100.5,107.6,6.4,182.5,103.6,6.0
2007年4月,83.5,///,///,69.5,146.9,10.4,86.5,144.7,10.8
2007年5月,56.0,///,///,59.5,153.8,15.7,116.0,208.4,16.7
2007年6月,229.0,///,///,162.0,185.9,20.2,273.5,149.8,20.9
2007年7月,135.0,///,///,123.5,109.2,22.2,175.0,78.3,22.7
2007年8月,286.5,///,///,147.5,214.8,26.2,133.5,222.6,27.2
2007年9月,54.0,///,///,37.5,166.0,24.0,88.5,170.7,24.2
2007年10月,136.0,///,///,88.0,140.0,17.2,158.0,134.7,16.2
2007年11月,149.5,///,///,120.5,///,11.2,263.5,115.8,9.6
2007年12月,311.0,///,///,205.0,57.3,7.5,553.0,51.2,5.8
2008年1月,116.0,///,///,100.5,38.1,3.8,385.0,///,2.2
2008年2月,119.5,///,///,87.0,51.2,3.2,216.0,79.3,1.6
2008年3月,52.5,///,///,63.0,163.5,7.6,160.0,137.3,6.7
2008年4月,57.0,///,///,73.5,194.3,12.3,59.5,174.1,12.4
2008年5月,74.0,///,///,84.5,204.7,16.4,60.0,208.8,17.5
2008年6月,54.0,201.1,///,50.0,213.9,19.3,118.0,152.6,20.1
2008年7月,101.5,135.0,///,134.0,157.7,24.6,187.5,154.7,25.7
2008年8月,201.0,189.7,///,198.0,206.6,25.3,248.0,172.5,25.6
2008年9月,93.5,180.3,///,54.5,170.4,22.1,205.5,157.2,22.1
2008年10月,217.0,158.5,///,146.0,168.5,17.8,124.0,150.0,17.1
2008年11月,280.0,95.0,///,184.5,92.7,11.8,290.0,97.4,10.2
2008年12月,164.0,92.1,///,135.5,65.4,8.4,293.0,141.4,6.7
2009年1月,216.5,82.9,///,143.0,72.3,4.9,268.5,81.0,3.5
2009年2月,124.5,70.0,///,103.0,66.3,4.8,194.5,65.0,4.4
2009年3月,140.0,143.2,///,99.5,133.4,6.4,211.0,///,6.3
2009年4月,78.0,183.9,///,67.5,169.7,11.1,99.0,206.7,11.7
2009年5月,50.5,183.0,///,57.0,177.0,16.4,39.0,178.7,17.3
2009年6月,68.0,183.3,///,94.5,209.2,20.2,69.0,156.1,21.4
2009年7月,255.0,100.8,///,296.5,109.2,22.7,301.0,65.2,23.9
2009年8月,142.0,155.1,///,124.5,143.6,24.0,134.5,129.2,24.8
2009年9月,66.0,158.0,///,32.5,152.7,21.1,46.0,137.1,21.3
2009年10月,172.5,162.1,///,204.5,177.2,17.2,193.5,153.3,16.2
2009年11月,169.0,106.1,///,136.0,80.7,12.3,325.0,108.1,11.1
2009年12月,310.5,57.8,///,203.0,59.2,6.8,349.5,67.3,5.5
2010年1月,184.0,52.6,///,118.5,37.0,4.7,678.5,66.5,2.5
2010年2月,204.0,80.2,///,109.0,74.1,3.7,267.0,80.9,2.7
2010年3月,150.5,84.5,///,182.5,88.4,5.7,215.5,69.8,5.4
2010年4月,110.5,122.2,///,105.0,133.6,9.8,126.5,124.2,9.9
2010年5月,136.5,177.2,///,105.5,161.6,14.5,109.5,174.8,15.8
2010年6月,148.5,187.3,///,144.5,184.7,20.2,162.0,170.8,21.3
2010年7月,109.5,202.6,///,108.5,192.9,25.3,118.0,178.7,26.2
2010年8月,54.5,257.7,///,50.0,261.4,28.1,17.0,221.2,28.7
2010年9月,334.5,142.5,///,344.0,163.2,23.6,285.5,131.6,23.3
2010年10月,134.0,116.1,///,120.5,135.9,18.0,229.5,116.9,17.0
2010年11月,196.0,95.0,///,146.5,93.1,12.1,300.0,127.1,10.2
2010年12月,309.5,65.5,///,285.0,63.3,7.7,533.0,74.8,6.1
2011年1月,168.0,49.4,///,131.5,30.6,2.2,567.0,31.6,0.7
2011年2月,100.0,112.9,///,87.0,107.2,4.7,123.5,128.9,3.1
2011年3月,103.0,137.3,///,85.5,118.7,4.6,207.5,135.8,3.9
2011年4月,118.5,183.5,///,145.5,162.4,10.2,110.0,191.7,10.5
2011年5月,96.5,188.1,///,155.5,157.6,15.0,182.5,196.2,16.7
2011年6月,191.0,163.8,///,231.0,150.3,20.0,239.0,149.2,21.5
2011年7月,332.0,220.0,///,107.5,195.6,25.5,183.5,179.8,26.5
2011年8月,51.0,196.5,///,90.0,202.0,26.1,153.0,180.1,26.6
2011年9月,250.0,176.3,///,223.5,165.2,23.3,315.0,156.0,22.8
2011年10月,117.0,152.2,///,83.0,159.8,17.0,248.5,129.0,15.8
2011年11月,137.0,95.5,///,132.5,100.7,12.9,425.0,84.4,11.7
2011年12月,194.0,52.9,///,140.5,34.6,5.2,519.0,46.4,4.0
2012年1月,112.0,52.9,///,102.0,45.4,2.4,478.0,37.9,1.0
2012年2月,179.0,64.3,///,127.5,66.8,2.0,307.5,64.8,0.8
2012年3月,182.0,98.3,///,143.0,105.6,5.9,223.0,109.6,4.5
2012年4月,94.0,160.7,///,115.5,184.6,10.8,117.0,152.2,11.2
2012年5月,130.0,193.0,///,77.0,195.9,15.5,66.5,198.9,16.4
2012年6月,37.5,220.1,20.6,53.0,242.2,19.5,57.5,196.6,20.5
2012年7月,163.5,173.9,25.4,274.0,173.1,24.5,176.5,145.3,25.6
2012年8月,28.0,283.9,27.9,68.5,282.4,27.3,73.0,277.9,27.8
2012年9月,224.0,221.9,25.2,287.5,208.2,25.3,246.5,211.1,24.5
2012年10月,193.0,151.5,17.3,162.0,156.3,17.9,199.0,138.7,16.7
2012年11月,283.5,64.9,9.9,223.0,63.7,11.3,499.0,65.4,9.3
2012年12月,183.5,57.2,3.9,239.5,45.5,5.0,554.0,83.6,3.0
2013年1月,148.5,64.2,1.8,115.5,56.1,2.6,409.5,72.6,1.2
2013年2月,93.5,76.6,1.5,81.0,61.3,2.5,277.0,70.2,1.4
2013年3月,93.5,149.1,6.0,93.0,153.3,6.4,107.5,141.3,6.1
2013年4月,142.0,157.4,10.1,141.0,163.4,10.1,131.5,187.5,10.7
2013年5月,50.0,233.9,16.3,51.0,221.2,15.2,70.0,229.4,16.4
2013年6月,93.5,236.0,22.1,61.0,261.3,21.0,181.0,197.9,22.0
2013年7月,413.0,101.1,25.1,499.0,102.8,24.4,174.5,130.4,25.8
2013年8月,264.5,203.2,26.9,147.5,206.3,26.5,282.0,187.1,26.6
2013年9月,165.0,177.2,22.9,192.0,177.1,22.5,342.0,176.8,22.2
2013年10月,176.0,124.5,18.3,200.0,134.1,18.7,335.5,130.5,17.8
2013年11月,416.0,82.6,9.8,275.5,///,11.6,311.0,117.5,9.9
2013年12月,271.5,55.8,5.2,246.0,47.0,6.8,458.0,63.1,4.9
2014年1月,129.5,71.9,2.5,106.0,40.3,3.8,474.0,69.9,1.8
2014年2月,73.5,60.8,2.5,67.0,54.2,2.9,201.0,51.2,2.0
2014年3月,151.5,127.3,6.1,170.0,113.7,6.5,271.5,138.8,6.0
2014年4月,48.0,244.1,11.1,33.0,238.5,10.7,96.0,237.4,11.2
2014年5月,90.0,223.7,17.1,82.0,217.1,16.3,44.5,230.4,17.3
2014年6月,63.0,202.0,22.0,130.0,207.8,21.0,84.5,177.9,22.2
2014年7月,314.5,195.0,24.9,262.5,184.5,24.3,253.0,177.9,24.9
2014年8月,163.5,145.2,26.1,156.0,122.9,25.3,342.5,117.4,25.7
2014年9月,103.0,212.6,21.6,109.5,227.6,21.6,109.5,190.2,21.5
2014年10月,229.0,160.4,16.0,226.0,164.6,16.4,189.5,158.3,16.0
2014年11月,174.5,93.5,11.1,164.0,98.0,12.1,285.0,98.1,11.2
2014年12月,444.0,27.7,3.4,361.5,23.7,5.0,831.5,35.9,3.5
2015年1月,114.5,53.6,3.1,120.0,29.9,4.2,417.0,45.0,2.4
2015年2月,92.5,58.5,3.9,85.5,62.0,4.7,243.0,76.0,3.2
2015年3月,117.0,147.3,7.0,109.0,131.2,7.2,200.5,148.7,6.3
2015年4月,145.0,172.0,12.1,147.0,178.5,11.7,131.0,178.6,12.5
2015年5月,63.0,///,18.6,67.0,272.2,17.1,65.0,273.6,18.7
2015年6月,50.0,192.9,21.2,50.0,202.2,20.3,62.0,167.4,21.1
2015年7月,167.0,189.6,25.2,93.0,198.2,24.4,104.0,177.7,25.7
2015年8月,114.5,183.9,25.8,61.5,193.2,25.4,131.0,167.4,26.0
2015年9月,145.5,121.9,21.1,82.0,134.9,21.0,150.5,115.1,20.8
2015年10月,106.0,194.2,15.8,114.5,180.2,15.9,140.5,171.9,15.6
2015年11月,187.0,77.4,12.1,153.5,81.9,12.7,291.5,77.8,11.9
2015年12月,165.5,71.5,7.0,152.0,73.7,8.0,443.5,77.8,6.6
2016年1月,269.0,23.9,3.1,188.0,28.6,4.3,493.0,57.5,2.7
2016年2月,130.0,81.3,3.6,108.5,76.2,4.8,310.0,85.4,3.4
2016年3月,41.5,157.6,6.9,48.0,176.6,7.5,110.5,155.4,6.8
2016年4月,120.5,198.5,12.4,128.0,190.3,12.3,125.5,182.1,13.1
2016年5月,90.0,224.5,18.4,110.5,236.2,17.4,50.0,217.7,18.6
2016年6月,73.5,193.2,21.4,79.0,200.6,20.5,102.0,169.2,21.6
2016年7月,194.5,152.0,24.6,194.5,144.3,24.0,405.5,135.5,25.1
2016年8月,85.0,271.9,27.0,120.5,271.0,26.3,201.0,228.7,26.5
2016年9月,127.0,130.5,23.4,133.0,123.2,23.0,274.5,109.2,22.9
2016年10月,99.0,134.1,16.4,73.0,157.2,16.6,118.5,109.1,16.5
2016年11月,89.5,106.5,9.9,107.5,113.1,10.9,260.0,95.3,9.8
2016年12月,179.5,64.4,6.4,240.0,55.8,8.0,421.5,78.1,6.4
2017年1月,161.0,52.5,3.1,152.0,46.8,4.5,553.0,57.5,2.9
2017年2月,95.0,72.9,3.3,107.0,55.1,4.5,249.0,78.0,3.1
2017年3月,69.0,144.2,6.1,42.5,157.7,6.5,177.5,147.6,6.0
2017年4月,99.5,192.7,11.6,113.0,186.8,11.6,63.5,175.3,12.2
2017年5月,56.0,234.1,17.7,39.5,242.9,16.9,61.0,235.2,17.9
2017年6月,48.0,177.9,19.0,71.5,179.3,18.0,88.0,179.4,19.0
2017年7月,443.0,197.7,25.9,430.0,204.6,25.0,414.0,157.5,26.1
2017年8月,258.0,171.6,26.2,120.5,197.6,25.9,340.5,143.1,26.1
2017年9月,95.5,190.2,21.7,111.5,196.2,21.9,194.0,176.1,21.4
2017年10月,150.5,75.0,16.4,190.5,86.6,16.6,364.5,82.6,16.0
2017年11月,231.5,91.6,9.1,142.5,86.8,10.8,416.0,105.0,9.0
2017年12月,329.5,42.1,3.9,242.0,23.8,5.5,359.5,82.5,3.9
2018年1月,206.0,54.5,1.7,182.5,41.0,3.1,411.5,63.8,1.7
2018年2月,108.5,83.9,1.4,103.5,85.9,2.7,227.5,108.9,1.5
2018年3月,111.0,175.1,7.5,111.5,176.7,7.5,156.5,187.0,7.6
2018年4月,139.5,175.5,12.7,139.5,172.8,12.1,73.0,185.9,13.2
2018年5月,139.0,164.3,17.0,102.0,166.7,16.1,150.0,175.8,17.2
2018年6月,66.5,189.1,21.1,115.5,174.3,20.1,54.0,182.8,21.4
2018年7月,42.0,262.5,27.4,162.5,256.8,26.3,48.0,277.6,27.5
2018年8月,278.0,186.1,26.6,183.0,203.6,26.1,266.5,182.4,26.7
2018年9月,248.5,113.9,21.8,209.5,124.8,21.9,308.0,88.3,21.6
2018年10月,154.0,141.6,17.2,154.0,152.4,17.6,123.0,144.8,16.8
2018年11月,97.0,95.7,11.6,95.0,118.7,12.7,292.5,113.0,11.3
2018年12月,205.5,56.6,5.9,133.5,36.0,7.0,524.0,61.8,5.7
2019年1月,150.0,51.9,3.0,100.0,45.8,4.5,555.0,52.9,2.5
2019年2月,65.5,73.1,4.0,56.5,86.6,4.8,233.0,74.1,3.4
2019年3月,92.0,154.2,7.2,101.5,144.2,7.9,179.5,155.5,7.3
2019年4月,107.5,173.9,10.8,91.0,188.8,10.6,128.5,170.3,10.7
2019年5月,62.0,312.3,18.0,40.5,311.5,17.3,61.5,302.8,17.8
2019年6月,174.5,185.2,20.8,196.5,196.2,20.3,224.5,165.3,20.9
2019年7月,73.5,172.0,25.2,69.0,165.2,24.6,60.5,112.9,25.2
2019年8月,177.0,244.1,27.5,224.5,230.5,26.9,260.5,214.1,27.6
2019年9月,30.5,161.9,23.4,77.0,181.9,23.2,154.5,154.9,23.3
2019年10月,188.5,122.2,17.7,181.0,136.2,18.2,317.0,110.7,17.4
2019年11月,137.0,104.9,11.0,110.5,115.4,11.6,245.0,115.1,10.5
2019年12月,94.0,76.9,6.6,110.5,69.1,8.2,427.0,84.1,6.3
2020年1月,146.0,60.7,5.2,126.5,47.8,6.0,392.5,63.1,5.3
2020年2月,102.0,74.8,5.0,123.5,75.7,5.9,300.0,96.7,4.7
2020年3月,121.0,161.0,7.9,125.0,143.1,8.1,179.5,149.9,7.8
2020年4月,108.0,167.6,10.1,109.0,173.8,10.2,180.5,170.1,10.1
2020年5月,82.0,206.2,17.2,67.5,192.8,16.6,58.5,205.9,17.6
2020年6月,80.5,205.6,22.3,///,212.8,21.3,115.0,177.1,22.3
2020年7月,649.5,75.3,23.6,474.5,78.5,23.2,333.0,30.5,23.5
2020年8月,101.5,227.3,27.7,115.0,225.7,26.9,97.5,236.1,28.0
2020年9月,250.5,167.3,24.4,225.0,178.7,24.6,246.5,138.1,24.4
2020年10月,108.5,120.5,16.4,61.5,145.6,17.4,143.5,103.2,15.9
2020年11月,124.5,96.7,11.4,122.0,91.3,12.9,313.5,126.9,11.4
2020年12月,203.5,45.5,5.2,180.5,39.7,6.6,723.5,69.6,4.8
2021年1月,247.5,50.2,1.9,151.5,52.1,3.6,552.5,65.9,1.5
2021年2月,97.5,104.3,4.4,86.5,84.2,5.6,390.5,123.8,3.7
2021年3月,77.5,152.5,8.5,90.0,150.6,8.7,96.5,146.0,8.1
2021年4月,109.5,218.0,11.4,105.5,216.9,10.9,117.5,212.1,11.3
2021年5月,114.0,178.1,16.9,108.5,175.1,16.1,106.5,162.7,17.0
2021年6月,84.5,212.8,21.5,72.5,237.0,20.6,120.5,187.4,21.4
2021年7月,226.5,242.5,26.1,240.5,256.0,25.5,235.0,207.4,26.0
2021年8月,163.5,170.4,26.7,124.0,183.4,26.1,285.0,154.5,26.3
2021年9月,121.5,190.9,22.3,138.0,181.6,22.4,///,156.2,22.4
2021年10月,152.5,127.6,17.2,142.5,146.7,17.7,307.0,146.4,16.9
2021年11月,282.5,120.3,11.5,251.0,123.0,12.9,252.0,138.9,11.4
2021年12月,275.0,59.2,5.3,230.5,41.6,7.0,492.5,81.9,5.5
2022年1月,120.5,69.6,2.5,104.0,48.4,3.5,353.5,65.8,2.0
2022年2月,109.5,63.3,2.5,96.5,57.9,3.4,293.5,80.3,1.8
2022年3月,87.5,137.2,7.3,101.5,152.9,7.7,140.5,107.7,6.5
2022年4月,107.0,199.5,12.5,93.5,222.7,12.2,112.0,194.3,12.7
2022年5月,89.5,255.5,17.5,104.5,248.8,16.6,105.0,240.9,17.3
2022年6月,172.5,181.8,21.7,75.0,199.6,20.7,48.0,179.0,22.4
2022年7月,223.5,239.7,26.6,146.0,212.3,25.7,236.0,180.2,26.3
2022年8月,280.5,139.5,26.6,274.0,139.9,26.4,301.0,144.6,26.6
2022年9月,123.0,177.2,23.8,138.5,179.4,23.5,166.5,152.5,23.8
2022年10月,117.5,130.1,15.8,118.0,141.4,16.8,146.5,134.6,15.6
2022年11月,171.0,121.4,12.2,138.0,123.4,13.5,322.5,118.0,12.1
2022年12月,400.0,36.9,4.7,345.0,34.8,6.3,667.0,69.4,4.7
2023年1月,149.0,54.4,2.9,124.0,44.5,4.3,512.0,83.4,2.9
2023年2月,109.0,69.7,3.5,105.0,68.6,4.6,284.5,93.9,2.9
2023年3月,85.0,213.3,9.2,88.5,212.6,9.5,97.5,189.4,9.1
2023年4月,76.5,195.1,12.7,101.0,203.3,12.5,71.5,198.7,12.8
2023年5月,167.5,222.0,16.9,172.5,234.1,16.3,183.5,212.6,16.9
2023年6月,182.5,178.1,22.1,217.5,179.5,21.3,225.5,167.7,21.8
2023年7月,172.5,224.5,26.5,176.0,207.7,25.5,204.5,203.5,26.7
2023年8月,2.0,326.1,30.6,10.0,305.3,29.9,35.5,303.7,30.1
2023年9月,192.5,142.8,25.8,215.5,135.2,25.5,236.0,122.4,25.3
2023年10月,180.0,150.7,16.7,134.0,167.6,17.7,377.0,160.0,16.3
2023年11月,233.5,111.1,12.1,234.5,89.1,13.3,369.0,127.0,11.8
2023年12月,316.0,56.2,6.0,255.0,57.2,7.4,502.0,96.4,5.8
2024年1月,180.0,72.0,4.3,147.5,57.8,5.7,447.5,83.0,3.3
2024年2月,114.5,70.1,4.8,90.5,75.0,5.6,228.5,68.9,4.4
2024年3月,168.0,114.3,6.0,202.0,113.4,6.3,256.5,119.2,5.9
2024年4月,54.0,204.6,13.7,76.0,202.9,13.0,105.0,189.2,13.9
2024年5月,128.0,210.8,17.1,134.5,220.3,16.4,108.5,199.8,17.1
2024年6月,57.0,226.4,22.2,70.5,233.6,21.4,77.0,217.3,22.2
2024年7月,376.5,99.4,26.2,228.5,96.4,25.3,228.5,157.1,26.7
2024年8月,42.0,197.1,28.0,29.0,212.0,27.4,44.5,191.4,27.9
2024年9月,292.0,142.8,25.0,328.5,163.0,24.4,160.0,145.0,25.4
2024年10月,144.5,142.3,18.7,167.5,148.5,18.8,185.0,123.3,18.5
2024年11月,246.5,106.7,11.5,187.0,106.3,12.3,374.0,106.6,11.5
2024年12月,262.5,43.1,4.9,236.0,28.9,6.6,732.5,48.6,4.5
